matchup,seed,player_name,agent_name,won,score,tickets_completed,tickets_total,ticket_completion_rate,avg_ticket_progress,avg_route_points,claimed_routes,avg_decision_time_ms,illegal_move_count,prevented_illegal_claims_avg,game_length_turns
random_vs_symbolic,42,random,random,0,-1,3,9,0.3333333333333333,0.12312693108432457,3,7,0.07308421031905853,0,40.10526315789474,36
random_vs_symbolic,42,symbolic,symbolic,1,31,1,2,0.5,0.5868055555555556,2.875,8,2.840677777587391,0,40.111111111111114,36
random_vs_symbolic,43,random,random,0,-55,1,10,0.1,0.1975248015873016,1.8571428571428572,7,0.07256000026245601,0,37.65,38
random_vs_symbolic,43,symbolic,symbolic,1,12,0,2,0.0,0.47885338345864664,2.625,8,3.1880421048347336,0,40.1578947368421,38
random_vs_symbolic,44,random,random,0,-42,1,8,0.125,0.19345238095238096,2.2857142857142856,7,0.07164761917097383,0,39.333333333333336,40
random_vs_symbolic,44,symbolic,symbolic,1,31,1,2,0.5,0.28928571428571426,2.2222222222222223,9,2.623590000166587,0,40,40
random_vs_symbolic,45,random,random,0,-47,1,8,0.125,0.1007388262322473,1.6666666666666667,6,0.06968947357228517,0,39.73684210526316,36
random_vs_symbolic,45,symbolic,symbolic,1,27,1,2,0.5,0.2916666666666667,2.5,8,2.7516555553827655,0,40.44444444444444,36
random_vs_symbolic,46,random,random,0,-31,2,9,0.2222222222222222,0.24022360796170322,2.142857142857143,7,0.07576500001960085,0,39,38
random_vs_symbolic,46,symbolic,symbolic,1,13,0,2,0.0,0.34868421052631576,2.3333333333333335,9,4.821789473728706,0,39.421052631578945,38
random_vs_symbolic,47,random,random,1,62,5,7,0.7142857142857143,0.20693877551020406,3,8,0.07535500026278896,0,40.3,39
random_vs_symbolic,47,symbolic,symbolic,0,24,2,3,0.6666666666666666,0.49525462962962963,2.111111111111111,9,2.3019949999252276,0,40.8,39
random_vs_symbolic,48,random,random,0,-41,0,7,0.0,0.17175876198432588,2.6666666666666665,6,0.06952631548828274,0,39.78947368421053,36
random_vs_symbolic,48,symbolic,symbolic,1,13,0,2,0.0,0.44593253968253965,2.111111111111111,9,3.2506666666449746,0,40.05555555555556,36
random_vs_symbolic,49,random,random,0,0,3,8,0.375,0.1091765873015873,2.25,8,0.06991999989622855,0,40.55,38
random_vs_symbolic,49,symbolic,symbolic,1,4,0,2,0.0,0.23778195488721804,2.5,8,3.239015789643561,0,40.26315789473684,38
random_vs_symbolic,50,random,random,0,-49,0,8,0.0,0.14302957294028723,2.4285714285714284,7,0.06951428535796281,0,39.61904761904762,40
random_vs_symbolic,50,symbolic,symbolic,1,47,2,2,1.0,0.6535714285714286,2.4444444444444446,9,2.5724050001372234,0,40.15,40
random_vs_symbolic,51,random,random,0,-15,0,5,0.0,0.1459325396825397,2.375,8,0.06725238086974492,0,39.476190476190474,40
random_vs_symbolic,51,symbolic,symbolic,1,7,0,3,0.0,0.3133597883597884,2.6666666666666665,9,2.697659999739699,0,40.7,40
random_vs_symbolic,52,random,random,0,-12,2,7,0.2857142857142857,0.24699546485260773,2.857142857142857,7,0.07157499985623872,0,38.1,38
random_vs_symbolic,52,symbolic,symbolic,1,4,0,3,0.0,0.29714912280701755,2.3333333333333335,9,3.009821052680644,0,40.31578947368421,38
random_vs_symbolic,53,random,random,0,-23,2,8,0.25,0.21889582587420933,2,7,0.07488947324562009,0,38.26315789473684,36
random_vs_symbolic,53,symbolic,symbolic,1,14,0,2,0.0,0.40740740740740744,2.4444444444444446,9,3.3766388888681025,0,39.55555555555556,36
random_vs_symbolic,54,random,random,0,-44,0,8,0.0,0.18667066972988028,2.4285714285714284,7,0.07895263173084363,0,38.8421052631579,36
random_vs_symbolic,54,symbolic,symbolic,1,22,1,2,0.5,0.4642857142857143,2.5,8,2.3042333337394263,0,40.44444444444444,36
random_vs_symbolic,55,random,random,0,-34,0,6,0.0,0.09320042831947593,2.142857142857143,7,0.0678333333434282,0,39.80952380952381,40
random_vs_symbolic,55,symbolic,symbolic,1,31,1,2,0.5,0.60625,2.6666666666666665,9,2.6810800001840107,0,39.25,40
random_vs_symbolic,56,random,random,0,-72,0,10,0.0,0.12851603835978836,2.4,5,0.07950999979584594,0,39.45,38
random_vs_symbolic,56,symbolic,symbolic,1,46,2,2,1.0,0.5625,2.3,10,3.908589473882641,0,39.89473684210526,38
random_vs_symbolic,57,random,random,0,-23,2,9,0.2222222222222222,0.2625039781994669,2.5,6,0.0656684210537749,0,40.05263157894737,36
random_vs_symbolic,57,symbolic,symbolic,1,23,1,2,0.5,0.5243055555555556,2.3333333333333335,9,2.794811111420535,0,39.833333333333336,36
random_vs_symbolic,58,random,random,0,-48,0,8,0.0,0.1856273395601627,2.4285714285714284,7,0.0709095237696255,0,39.38095238095238,40
random_vs_symbolic,58,symbolic,symbolic,1,47,2,2,1.0,0.53125,2.6666666666666665,9,2.7598549999311217,0,40.05,40
random_vs_symbolic,59,random,random,0,-53,0,8,0.0,0.15825113378684807,2.1666666666666665,6,0.07363500008068513,0,38.95,38
random_vs_symbolic,59,symbolic,symbolic,1,24,1,2,0.5,0.3256578947368421,2.111111111111111,9,2.5130894734358757,0,40.21052631578947,38
random_vs_symbolic,60,random,random,0,-31,2,9,0.2222222222222222,0.14498415350545676,2.4285714285714284,7,0.07343157889600231,0,40.473684210526315,36
random_vs_symbolic,60,symbolic,symbolic,1,8,0,2,0.0,0.3410493827160494,2.111111111111111,9,3.420577777938484,0,39.94444444444444,36
random_vs_symbolic,61,random,random,0,-2,2,6,0.3333333333333333,0.24622667780562518,2.375,8,0.07570000008471604,0,37.36842105263158,36
random_vs_symbolic,61,symbolic,symbolic,1,58,3,3,1.0,0.42239858906525574,2.5,8,3.8628388889871226,0,39.666666666666664,36
random_vs_hybrid,62,random,random,0,-40,0,7,0.0,0.17069903358168662,1.8571428571428572,7,0.07399047605022566,0,40,40
random_vs_hybrid,62,hybrid,hybrid,1,34,1,2,0.5,0.44285714285714284,2.5555555555555554,9,4.17099500018594,0,40.25,40
random_vs_hybrid,63,random,random,0,-50,0,8,0.0,0.18515873015873016,2.375,8,0.06583499989574193,0,39.85,38
random_vs_hybrid,63,hybrid,hybrid,1,44,2,2,1.0,0.3782894736842105,2.3333333333333335,9,3.542678947652396,0,40.26315789473684,38
random_vs_hybrid,64,random,random,0,-49,0,8,0.0,0.1380456349206349,2,7,0.07699000007050927,0,39.65,38
random_vs_hybrid,64,hybrid,hybrid,1,17,0,2,0.0,0.36878654970760233,2.6666666666666665,9,3.9927315788908775,0,40.36842105263158,38
random_vs_hybrid,65,random,random,0,-60,0,9,0.0,0.03481948334889512,2.3333333333333335,6,0.07058823511589948,0,39.1764705882353,32
random_vs_hybrid,65,hybrid,hybrid,1,15,0,2,0.0,0.3402777777777778,2.875,8,6.391168749814824,0,39.4375,32
random_vs_hybrid,66,random,random,0,-71,0,10,0.0,0.02631578947368421,1.8333333333333333,6,0.07468947382891968,0,38.63157894736842,36
random_vs_hybrid,66,hybrid,hybrid,1,26,1,2,0.5,0.5902777777777778,2.3333333333333335,9,5.318138888873768,0,39.55555555555556,36
random_vs_hybrid,67,random,random,0,-43,0,7,0.0,0.11132618251979154,2,7,0.07238947373958868,0,40.26315789473684,36
random_vs_hybrid,67,hybrid,hybrid,1,29,1,2,0.5,0.46875,2.4444444444444446,9,4.330594444480893,0,39.72222222222222,36
random_vs_hybrid,68,random,random,0,-29,1,7,0.14285714285714285,0.11074778396206969,2.375,8,0.06837272716934835,0,40.09090909090909,42
random_vs_hybrid,68,hybrid,hybrid,1,30,1,2,0.5,0.16666666666666666,2.6666666666666665,9,5.0490999998319674,0,39.76190476190476,42
random_vs_hybrid,69,random,random,0,-54,0,8,0.0,0.0977328431372549,2.1666666666666665,6,0.0622294116029105,0,39.411764705882355,32
random_vs_hybrid,69,hybrid,hybrid,1,32,1,2,0.5,0.44140625,3,8,4.108281250296386,0,39.5,32
random_vs_hybrid,70,random,random,0,-47,0,8,0.0,0.08163265306122448,2.5,8,0.06412727254262957,0,40.09090909090909,42
random_vs_hybrid,70,hybrid,hybrid,1,30,1,2,0.5,0.6071428571428571,2.5555555555555554,9,4.120504761972587,0,40.23809523809524,42
random_vs_hybrid,71,random,random,0,-18,2,8,0.25,0.24646209012705614,2.625,8,0.06827619065353203,0,39.857142857142854,41
random_vs_hybrid,71,hybrid,hybrid,1,48,2,2,1.0,0.4255952380952381,2.111111111111111,9,3.7421142858095533,0,40.57142857142857,41
random_vs_hybrid,72,random,random,0,-44,1,9,0.1111111111111111,0.18160535819265977,2.125,8,0.07060476179633822,0,39.57142857142857,40
random_vs_hybrid,72,hybrid,hybrid,1,17,0,2,0.0,0.3902777777777778,2.5555555555555554,9,5.590440000014496,0,39.75,40
random_vs_hybrid,73,random,random,0,-38,0,7,0.0,0.18456986961451247,2.142857142857143,7,0.06833500010543503,0,38.6,38
random_vs_hybrid,73,hybrid,hybrid,1,18,1,3,0.3333333333333333,0.36716791979949875,2.75,8,3.3829789477558254,0,40.63157894736842,38
random_vs_hybrid,74,random,random,0,-57,0,9,0.0,0.138015873015873,2.142857142857143,7,0.06810500008214149,0,39.5,38
random_vs_hybrid,74,hybrid,hybrid,1,15,0,2,0.0,0.35526315789473684,2.3333333333333335,9,4.192863157808652,0,40.473684210526315,38
random_vs_hybrid,75,random,random,0,-42,1,9,0.1111111111111111,0.1435335497835498,2.375,8,0.08009999981533672,0,39.36363636363637,42
random_vs_hybrid,75,hybrid,hybrid,1,34,1,2,0.5,0.485969387755102,2.3333333333333335,9,6.66746666640739,0,39.19047619047619,42
random_vs_hybrid,76,random,random,0,-32,0,6,0.0,0.28409247757073847,2,9,0.07775652201140158,0,39.91304347826087,44
random_vs_hybrid,76,hybrid,hybrid,1,36,2,3,0.6666666666666666,0.5108225108225108,2.75,8,5.4677590908547495,0,39.81818181818182,44
random_vs_hybrid,77,random,random,0,-36,0,6,0.0,0.13561939268461007,2.4285714285714284,7,0.07177391299869075,0,40.130434782608695,44
random_vs_hybrid,77,hybrid,hybrid,1,42,2,2,1.0,0.7727272727272727,2.4444444444444446,9,2.6777363637765204,0,40.40909090909091,44
random_vs_hybrid,78,random,random,0,-73,0,10,0.0,0.0757692843219159,1.8,5,0.07237368443288449,0,40.10526315789474,36
random_vs_hybrid,78,hybrid,hybrid,1,30,1,2,0.5,0.3298611111111111,2.3333333333333335,9,3.5139333332254967,0,40.888888888888886,36
random_vs_hybrid,79,random,random,1,5,2,6,0.3333333333333333,0.2955719324766944,2.5,8,0.08169047612768952,0,39.95238095238095,40
random_vs_hybrid,79,hybrid,hybrid,0,-6,0,3,0.0,0.36369047619047623,2.2222222222222223,9,3.650974999891332,0,40.2,40
random_vs_hybrid,80,random,random,0,-53,0,9,0.0,0.0724592151675485,2.25,8,0.07994000025064452,0,40.55,38
random_vs_hybrid,80,hybrid,hybrid,1,36,1,2,0.5,0.4277360066833751,2.4444444444444446,9,6.350268420934107,0,39.89473684210526,38
random_vs_hybrid,81,random,random,0,-24,0,6,0.0,0.2755654761904762,2.25,8,0.08104000007733703,0,39.15,38
random_vs_hybrid,81,hybrid,hybrid,1,39,2,3,0.6666666666666666,0.3388157894736842,2.5,8,4.785815789594046,0,39.63157894736842,38
symbolic_vs_random,82,symbolic,symbolic,1,14,1,3,0.3333333333333333,0.4295267489711934,2.5,8,4.258622221944582,0,38.55555555555556,35
symbolic_vs_random,82,random,random,0,-15,1,6,0.16666666666666666,0.14927248677248678,2,7,0.07855555526879875,0,39.55555555555556,35
symbolic_vs_random,83,symbolic,symbolic,1,15,0,2,0.0,0.5153769841269842,2.3333333333333335,9,3.744222222343928,0,39.833333333333336,35
symbolic_vs_random,83,random,random,0,-52,0,7,0.0,0.08229402872260017,2.2,5,0.08171666670225225,0,39.22222222222222,35
symbolic_vs_random,84,symbolic,symbolic,1,45,2,2,1.0,0.5486111111111112,2.4444444444444446,9,2.575677777713281,0,40.111111111111114,35
symbolic_vs_random,84,random,random,0,-47,0,7,0.0,0.12366465104560342,2,6,0.08530555553281577,0,39.166666666666664,35
symbolic_vs_random,85,symbolic,symbolic,1,14,0,2,0.0,0.41118421052631576,2.111111111111111,9,3.6789736841456033,0,40.21052631578947,37
symbolic_vs_random,85,random,random,0,-41,1,8,0.125,0.1480393692564745,3,6,0.0841315790909759,0,39.63157894736842,37
symbolic_vs_random,86,symbolic,symbolic,1,31,1,2,0.5,0.4140625,2.625,8,2.86066250055228,0,40.3125,31
symbolic_vs_random,86,random,random,0,-69,0,9,0.0,0.07886038674729151,1.8333333333333333,6,0.08124374994622485,0,39.25,31
symbolic_vs_random,87,symbolic,symbolic,1,45,2,2,1.0,0.618421052631579,2.75,8,2.2157157892300012,0,40.526315789473685,37
symbolic_vs_random,87,random,random,0,-43,0,7,0.0,0.12774794128177586,2.4285714285714284,7,0.07663684204759959,0,39.473684210526315,37
symbolic_vs_random,88,symbolic,symbolic,1,41,2,2,1.0,0.6041666666666666,2.111111111111111,9,3.608527777841017,0,40.44444444444444,35
symbolic_vs_random,88,random,random,0,-19,2,9,0.2222222222222222,0.08421446768007615,3.3333333333333335,6,0.08866666656912356,0,40.22222222222222,35
symbolic_vs_random,89,symbolic,symbolic,1,26,1,3,0.3333333333333333,0.3323412698412698,2.5555555555555554,9,2.566123809672371,0,40.57142857142857,41
symbolic_vs_random,89,random,random,0,2,2,6,0.3333333333333333,0.21991685563114133,2.75,8,0.07057142838242553,0,39.904761904761905,41
symbolic_vs_random,90,symbolic,symbolic,1,44,2,2,1.0,0.6392857142857143,2.3333333333333335,9,2.7585950000684534,0,39.7,39
symbolic_vs_random,90,random,random,0,-54,0,8,0.0,0.1537733843537415,1.8333333333333333,6,0.06939000004422269,0,39.8,39
symbolic_vs_random,91,symbolic,symbolic,1,24,1,3,0.3333333333333333,0.32602145796590243,2.6666666666666665,9,3.12963333322437,0,40.27777777777778,35
symbolic_vs_random,91,random,random,0,-36,0,7,0.0,0.09309964726631394,2.7142857142857144,7,0.06444444463543025,0,40.27777777777778,35
symbolic_vs_random,92,symbolic,symbolic,1,29,1,2,0.5,0.40336134453781514,2.111111111111111,9,3.23216470571745,0,39.470588235294116,33
symbolic_vs_random,92,random,random,0,-36,1,7,0.14285714285714285,0.14894291049753236,2.1666666666666665,6,0.06700588250275948,0,37,33
symbolic_vs_random,93,symbolic,symbolic,1,60,3,3,1.0,0.44092261904761904,2.4444444444444446,9,3.2594100002825144,0,39.2,39
symbolic_vs_random,93,random,random,0,-36,0,7,0.0,0.15578231292517006,2.5,6,0.06406000002243672,0,38.7,39
symbolic_vs_random,94,symbolic,symbolic,1,45,2,2,1.0,0.3725198412698413,2.2222222222222223,9,2.439316666722233,0,40.611111111111114,35
symbolic_vs_random,94,random,random,0,-53,1,9,0.1111111111111111,0.14512174211248285,2.3333333333333335,6,0.06647777768699194,0,40.5,35
symbolic_vs_random,95,symbolic,symbolic,1,34,1,2,0.5,0.49955357142857143,2.5555555555555554,9,4.866499999843654,0,38.05,39
symbolic_vs_random,95,random,random,0,-37,0,7,0.0,0.03219600340136055,2.5714285714285716,7,0.06548499995915336,0,40.55,39
symbolic_vs_random,96,symbolic,symbolic,1,30,1,2,0.5,0.3655753968253968,2.3333333333333335,9,2.880616667021564,0,40.388888888888886,35
symbolic_vs_random,96,random,random,0,-38,0,7,0.0,0.13104686318972034,2.5,6,0.066122222354655,0,40.22222222222222,35
symbolic_vs_random,97,symbolic,symbolic,1,34,2,3,0.6666666666666666,0.5918367346938775,2.3333333333333335,9,2.1735571425822506,0,40.19047619047619,41
symbolic_vs_random,97,random,random,0,-29,0,6,0.0,0.11567460317460318,2.857142857142857,7,0.06518095211677497,0,39.523809523809526,41
symbolic_vs_random,98,symbolic,symbolic,1,33,1,2,0.5,0.40740740740740744,2.2,10,2.8354666669440034,0,40,41
symbolic_vs_random,98,random,random,0,-38,0,7,0.0,0.09914156138645935,2.3333333333333335,6,0.06391904814032993,0,39.04761904761905,41
symbolic_vs_random,99,symbolic,symbolic,1,25,1,2,0.5,0.4174107142857143,2.111111111111111,9,2.479137500131401,0,39.75,31
symbolic_vs_random,99,random,random,0,-50,0,8,0.0,0.11590608465608465,2.5,6,0.0705937500242726,0,36.625,31
symbolic_vs_random,100,symbolic,symbolic,1,34,1,2,0.5,0.3148148148148148,2.3333333333333335,9,2.5699611111728395,0,39.94444444444444,35
symbolic_vs_random,100,random,random,0,-32,1,7,0.14285714285714285,0.12764182833627277,2.142857142857143,7,0.06268333325149594,0,39.888888888888886,35
symbolic_vs_random,101,symbolic,symbolic,1,46,2,2,1.0,0.4732142857142857,2.2222222222222223,9,2.614066666461036,0,40.44444444444444,35
